@relation area_under_roc_curve

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
1 , 0.99545 , 0.907699 , 0.997267 , 0.992099 , 0.988262 , 0.813839 , 0.84561 , 0.812918 , 0.984251 , 0.985212 , 0.993542 , 0.989331 , 0.5 , 0.491457 , 0.878823 , 0.985987 , 0.992822 , 0.994724 , 0.991962 , 0.978916 , 0.984837 , 0.9895 , 0.778224 , 0.70077 , 0.995859 , 0.996849 , 0.998275 , 0.983226 , 0.907699 , 0.954862 , 0.989344 , 0.910951 , 0.656542 , 0.989557 , 0.491457 , 0.999626 , 0.998391 , 0.978787 , 0.959083 , 0.988957 , 0.981104 , 0.999319 , 0.986998 , 0.996559 , 0.994587 , 0.991351 , 0.932526 , 0.491457 
2 , 0.991566 , 0.908509 , 0.9829 , 0.974159 , 0.95496 , 0.659801 , 0.901891 , 0.851944 , 0.984251 , 0.981644 , 0.916938 , 0.98857 , 0.5 , 0.491457 , 0.881968 , 0.908846 , 0.968934 , 0.980731 , 0.968738 , 0.950008 , 0.5 , 0.978941 , 0.622911 , 0.688486 , 0.984869 , 0.933394 , 0.997227 , 0.959449 , 0.908509 , 0.932432 , 0.991247 , 0.642555 , 0.656542 , 0.952035 , 0.491457 , 0.990275 , 0.985358 , 0.941548 , 0.889396 , 0.975884 , 0.96622 , 0.996021 , 0.958743 , 0.940984 , 0.885459 , 0.867623 , 0.924187 , 0.491457 
3 , 0.975407 , 0.993266 , 0.999551 , 0.951346 , 0.998072 , 0.669368 , 0.793268 , 0.666432 , 0.984916 , 0.998611 , 0.997651 , 0.997369 , 0.5 , 0.981852 , 0.687727 , 0.904874 , 0.993825 , 0.999428 , 0.998548 , 0.994112 , 0.990505 , 0.986113 , 0.966803 , 0.958213 , 0.998209 , 0.995569 , 0.995529 , 0.966283 , 0.990552 , 0.951281 , 0.994919 , 0.549067 , 0.666985 , 0.997053 , 0.918648 , 0.999705 , 0.996784 , 0.95335 , 0.991756 , 0.997912 , 0.887797 , 0.998356 , 0.997529 , 0.995315 , 0.996565 , 0.999372 , 0.952522 , 0.499042 
4 , 0.962162 , 0.986486 , 0.928378 , 0.975676 , 0.778378 , 0.689865 , 0.905405 , 0.835135 , 0.816892 , 0.710135 , 0.982432 , 0.860811 , 0.5 , 0.893243 , 0.983784 , 0.843919 , 0.975676 , 0.796622 , 0.710135 , 0.897973 , 0.975 , 0.937838 , 0.934459 , 0.947973 , 0.982432 , 0.970946 , 0.989189 , 0.903378 , 0.974324 , 0.977027 , 0.968919 , 0.758784 , 0.772973 , 0.717568 , 0.471622 , 0.960811 , 0.940541 , 0.816892 , 0.972973 , 0.700676 , 0.859459 , 0.986486 , 0.792568 , 0.982432 , 0.947973 , 0.934459 , 0.985135 , 0.471622 
7 , 0.960218 , 0.711989 , 0.948222 , 0.957929 , 0.904672 , 0.724823 , 0.784279 , 0.711989 , 0.875776 , 0.952574 , 0.960662 , 0.891549 , 0.5 , 0.452822 , 0.753537 , 0.841075 , 0.93417 , 0.93401 , 0.921456 , 0.910575 , 0.941986 , 0.930055 , 0.904016 , 0.640442 , 0.956889 , 0.935305 , 0.961207 , 0.937277 , 0.711989 , 0.934245 , 0.908549 , 0.642893 , 0.654877 , 0.922278 , 0.412101 , 0.970468 , 0.950954 , 0.810502 , 0.809021 , 0.91984 , 0.846665 , 0.963958 , 0.906731 , 0.956889 , 0.939704 , 0.929555 , 0.857334 , 0.412101 
9 , 0.943321 , 0.664799 , 0.864755 , 0.8895 , 0.867992 , 0.705001 , 0.77943 , 0.664799 , 0.835418 , 0.943282 , 0.841216 , 0.902872 , 0.5 , 0.832044 , 0.795025 , 0.834641 , 0.880662 , 0.904928 , 0.892294 , 0.848597 , 0.882856 , 0.889438 , 0.513126 , 0.514493 , 0.903638 , 0.83892 , 0.942815 , 0.830387 , 0.664799 , 0.831964 , 0.918173 , 0.603627 , 0.794832 , 0.871325 , 0.463768 , 0.959902 , 0.920045 , 0.869646 , 0.820714 , 0.819541 , 0.822668 , 0.971229 , 0.867245 , 0.911133 , 0.901407 , 0.898766 , 0.826275 , 0.463768 
10 , 0.923683 , 0.788991 , 0.895366 , 0.918965 , 0.807341 , 0.761275 , 0.872293 , 0.724364 , 0.805434 , 0.871187 , 0.899984 , 0.853647 , 0.5 , 0.839768 , 0.547138 , 0.836336 , 0.922057 , 0.841681 , 0.836117 , 0.805752 , 0.920247 , 0.851815 , 0.851267 , 0.789844 , 0.921752 , 0.832148 , 0.923935 , 0.87631 , 0.860538 , 0.911101 , 0.865229 , 0.634878 , 0.776059 , 0.850994 , 0.466773 , 0.936767 , 0.910196 , 0.805023 , 0.914276 , 0.760775 , 0.815063 , 0.939674 , 0.845838 , 0.921752 , 0.874084 , 0.858925 , 0.837872 , 0.466773 
11 , 0.868017 , 0.88165 , 0.945465 , 0.875178 , 0.840852 , 0.713893 , 0.860218 , 0.611377 , 0.825656 , 0.878599 , 0.949505 , 0.901358 , 0.497033 , 0.972044 , 0.5 , 0.841264 , 0.980555 , 0.902882 , 0.821787 , 0.842978 , 0.951087 , 0.954173 , 0.878338 , 0.903561 , 0.970969 , 0.976034 , 0.997162 , 0.759713 , 0.88165 , 0.971628 , 0.834216 , 0.509873 , 0.614243 , 0.907904 , 0.493668 , 0.946549 , 0.931357 , 0.849489 , 0.949579 , 0.878341 , 0.824895 , 0.992907 , 0.839501 , 0.974652 , 0.999984 , 0.992573 , 0.882927 , 0.493668 
13 , 0.702224 , 0.683172 , 0.68288 , 0.695083 , 0.621335 , 0.575388 , 0.652531 , 0.590284 , 0.652736 , 0.583406 , 0.53746 , 0.629792 , 0.5 , 0.700176 , 0.467486 , 0.596869 , 0.683963 , 0.655546 , 0.583406 , 0.581036 , 0.657799 , 0.690167 , 0.587591 , 0.577407 , 0.653263 , 0.6271 , 0.633099 , 0.633626 , 0.680509 , 0.700176 , 0.705034 , 0.572432 , 0.527627 , 0.589786 , 0.483114 , 0.681797 , 0.673983 , 0.610828 , 0.678285 , 0.638396 , 0.576705 , 0.686684 , 0.5952 , 0.653263 , 0.679661 , 0.659321 , 0.655838 , 0.702224 
14 , 0.976705 , 0.715802 , 0.979678 , 0.963573 , 0.905884 , 0.73287 , 0.814844 , 0.715802 , 0.929199 , 0.978719 , 0.937858 , 0.92368 , 0.5 , 0.955207 , 0.888122 , 0.889722 , 0.975594 , 0.948281 , 0.906852 , 0.922403 , 0.903992 , 0.956073 , 0.898333 , 0.869167 , 0.976169 , 0.884584 , 0.978079 , 0.919816 , 0.715802 , 0.955128 , 0.889596 , 0.503333 , 0.670278 , 0.890727 , 0.865219 , 0.984413 , 0.982258 , 0.806389 , 0.90007 , 0.938377 , 0.855278 , 0.983888 , 0.930907 , 0.979981 , 0.971099 , 0.971933 , 0.900356 , 0.5 
