@relation kappa

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
1 , 0.969666 , 0.43469 , 0.974928 , 0.90663 , 0.96054 , 0.512749 , 0.43469 , 0.450333 , 0.887148 , 0.971925 , 0.977724 , 0.96644 , 0 , 0 , 0.945077 , 0.974899 , 0.974899 , 0.974885 , 0.96644 , 0.961044 , 0.879904 , 0.955529 , 0.468376 , 0.517777 , 0.983296 , 0.972371 , 0.986129 , 0.887994 , 0.43469 , 0.724656 , 0.960703 , 0.674426 , 0.43469 , 0.955445 , 0 , 0.988864 , 0.980391 , 0.955448 , 0.670175 , 0.954707 , 0.961051 , 0.97772 , 0.955542 , 0.980473 , 0.986108 , 0.977817 , 0.528428 , 0 
2 , 0.915524 , 0.43469 , 0.839979 , 0.825747 , 0.805302 , 0.43469 , 0.43469 , 0.450333 , 0.887148 , 0.850621 , 0.809785 , 0.966682 , 0 , 0 , 0.945077 , 0.867741 , 0.868018 , 0.829086 , 0.777816 , 0.876327 , 0 , 0.925122 , 0.151209 , 0.491263 , 0.894481 , 0.6787 , 0.991665 , 0.770963 , 0.43469 , 0.54977 , 0.937109 , 0.168741 , 0.43469 , 0.861044 , 0 , 0.885663 , 0.668455 , 0.813827 , 0.457545 , 0.801338 , 0.925137 , 0.923832 , 0.834178 , 0.71017 , 0.760886 , 0.74593 , 0.559024 , 0 
3 , 0.829079 , 0.908384 , 0.983695 , 0.747657 , 0.984951 , 0.339644 , 0.339644 , 0.339644 , 0.947363 , 0.98934 , 0.978055 , 0.986831 , 0 , 0.876988 , 0.040967 , 0.808441 , 0.930278 , 0.992477 , 0.988713 , 0.979939 , 0.936588 , 0.923631 , 0.932956 , 0.916017 , 0.991849 , 0.948596 , 0.941705 , 0.453725 , 0.897043 , 0.747657 , 0.960481 , 0.101727 , 0.338687 , 0.980561 , 0.734673 , 0.993102 , 0.941624 , 0.907154 , 0.901588 , 0.980556 , 0.769272 , 0.991849 , 0.984952 , 0.940455 , 0.993103 , 0.994984 , 0.764346 , 0 
4 , 0.774108 , 0.842324 , 0.763485 , 0.763485 , 0.605809 , 0.613414 , 0.657315 , 0.613414 , 0.581162 , 0.515581 , 0.885772 , 0.720784 , 0 , 0.80056 , 0.852713 , 0.664925 , 0.842324 , 0.581162 , 0.515581 , 0.727273 , 0.852713 , 0.763485 , 0.849406 , 0.885772 , 0.845946 , 0.885772 , 0.845946 , 0.669086 , 0.842324 , 0.922973 , 0.883117 , 0.441499 , 0.586357 , 0.515581 , 0 , 0.763485 , 0.677054 , 0.614865 , 0.845946 , 0.460811 , 0.727273 , 0.885772 , 0.614865 , 0.845946 , 0.885772 , 0.849406 , 0.77907 , 0 
7 , 0.696686 , 0.305939 , 0.740152 , 0.732544 , 0.693492 , 0.305939 , 0.305939 , 0.305939 , 0.616709 , 0.74274 , 0.819369 , 0.699026 , 0 , 0.005831 , 0.574895 , 0.681389 , 0.749827 , 0.752915 , 0.747042 , 0.701058 , 0.76766 , 0.674597 , 0.802842 , 0.278504 , 0.814094 , 0.758618 , 0.808973 , 0.332896 , 0.305939 , 0.671473 , 0.709298 , 0.254173 , 0.305939 , 0.762605 , 0 , 0.775742 , 0.699524 , 0.540115 , 0.363053 , 0.69866 , 0.690188 , 0.782782 , 0.698445 , 0.814094 , 0.766978 , 0.776057 , 0.469849 , 0 
9 , 0.75851 , 0.220294 , 0.561191 , 0.559991 , 0.632401 , 0.243184 , 0.303621 , 0.220294 , 0.492233 , 0.737262 , 0.676736 , 0.725287 , 0 , 0.433151 , 0.501153 , 0.660617 , 0.660617 , 0.751693 , 0.731851 , 0.665327 , 0.639129 , 0.559976 , 0.024978 , 0.030767 , 0.66262 , 0.613172 , 0.791088 , 0.300782 , 0.220294 , 0.427322 , 0.640531 , 0.169389 , 0.591137 , 0.632741 , 0 , 0.815292 , 0.660744 , 0.69403 , 0.384786 , 0.422029 , 0.641685 , 0.796368 , 0.627353 , 0.668584 , 0.690961 , 0.682859 , 0.455318 , 0 
10 , 0.729386 , 0.517788 , 0.624464 , 0.733013 , 0.587672 , 0.429599 , 0.522409 , 0.531646 , 0.512989 , 0.610765 , 0.756431 , 0.66088 , 0 , 0.526536 , 0.095898 , 0.686938 , 0.666547 , 0.612467 , 0.616746 , 0.579509 , 0.711501 , 0.535362 , 0.701639 , 0.593258 , 0.707183 , 0.62512 , 0.706096 , 0.519481 , 0.551355 , 0.664867 , 0.544375 , 0.238024 , 0.530803 , 0.657349 , 0 , 0.724199 , 0.625824 , 0.580588 , 0.693775 , 0.573375 , 0.633599 , 0.739138 , 0.583465 , 0.707183 , 0.755585 , 0.711091 , 0.563178 , 0 
11 , 0.468843 , 0.48368 , 0.74596 , 0.492582 , 0.631027 , 0.326409 , 0.554896 , 0.228487 , 0.552943 , 0.613469 , 0.838488 , 0.697329 , -0.005935 , 0.827893 , 0 , 0.648405 , 0.819196 , 0.63372 , 0.581602 , 0.632047 , 0.804154 , 0.694362 , 0.756677 , 0.807122 , 0.794449 , 0.820749 , 0.937074 , 0.148368 , 0.492582 , 0.827893 , 0.520376 , 0.013966 , 0.228487 , 0.68174 , -0.005935 , 0.690451 , 0.759644 , 0.645894 , 0.750742 , 0.639618 , 0.639918 , 0.879076 , 0.635358 , 0.768546 , 0.997186 , 0.966376 , 0.492622 , -0.005935 
13 , 0.290483 , 0.237181 , 0.17341 , 0.31457 , 0.212015 , 0.168039 , 0.099731 , 0.240915 , 0.205825 , 0.268178 , 0.078458 , 0.266005 , 0 , 0.304657 , -0.00696 , 0.210145 , 0.268615 , 0.282592 , 0.268178 , 0.236504 , 0.311911 , 0.243791 , 0.192142 , 0.173682 , 0.307239 , 0.210145 , 0.224647 , 0.241576 , 0.286362 , 0.304657 , 0.305142 , 0.16129 , 0.066278 , 0.138394 , 0 , 0.288892 , 0.144545 , 0.173924 , 0.242297 , 0.134109 , 0.194306 , 0.323761 , 0.112055 , 0.307239 , 0.394107 , 0.349614 , 0.226065 , 0.290483 
14 , 0.801667 , 0.107778 , 0.791111 , 0.752222 , 0.743333 , 0.107222 , 0.263889 , 0.107778 , 0.609444 , 0.809444 , 0.798889 , 0.766111 , 0 , 0.732222 , 0.467222 , 0.779444 , 0.795 , 0.753333 , 0.753333 , 0.694444 , 0.729444 , 0.713333 , 0.796667 , 0.738333 , 0.812778 , 0.713333 , 0.803889 , 0.499444 , 0.107778 , 0.732778 , 0.633333 , 0.006667 , 0.340556 , 0.728333 , 0.553333 , 0.827222 , 0.804444 , 0.612778 , 0.493333 , 0.724444 , 0.710556 , 0.825556 , 0.737222 , 0.799444 , 0.835 , 0.835556 , 0.670556 , 0 
15 , 0.937043 , 0.908084 , 0.914591 , 0.934217 , 0.882728 , 0.851516 , 0.893183 , 0.836833 , 0.876632 , 0.880616 , 0.924746 , 0.889502 , 0 , 0.912714 , 0.718067 , 0.914591 , 0.93692 , 0.896425 , 0.883644 , 0.893598 , 0.894367 , 0.892131 , 0.927101 , 0.911515 , 0.917349 , 0.924007 , 0.917835 , 0.83196 , 0.908445 , 0.940713 , 0.911861 , 0.72117 , 0.809627 , 0.877115 , 0 , 0.93396 , 0.921381 , 0.850739 , 0.927671 , 0.90213 , 0.874821 , 0.946747 , 0.886456 , 0.917349 , 0.924156 , 0.934089 , 0.912033 , 0 
16 , 0.958889 , 0.105 , 0.897222 , 0.915 , 0.808333 , 0.101667 , 0.268333 , 0.105 , 0.591111 , 0.934444 , 0.943333 , 0.868333 , 0 , 0.927778 , 0.675556 , 0.96 , 0.963333 , 0.796111 , 0.803889 , 0.787778 , 0.933889 , 0.743333 , 0.932778 , 0.941667 , 0.947222 , 0.884444 , 0.949444 , 0.602778 , 0.105 , 0.927778 , 0.816111 , 0.006667 , 0.265 , 0.828333 , 0.411667 , 0.959444 , 0.934444 , 0.711111 , 0.4 , 0.763333 , 0.783889 , 0.968889 , 0.803333 , 0.949444 , 0.965 , 0.976667 , 0.810556 , 0 
18 , 0.655556 , 0.110556 , 0.683333 , 0.645 , 0.691111 , 0.110556 , 0.111111 , 0.110556 , 0.639444 , 0.715556 , 0.710556 , 0.683889 , 0 , 0.617778 , 0.288889 , 0.626667 , 0.703333 , 0.701667 , 0.695 , 0.675556 , 0.665556 , 0.681111 , 0.060556 , 0.206667 , 0.71 , 0.711111 , 0.703333 , 0.667222 , 0.110556 , 0.659444 , 0.663889 , 0.245556 , 0.441667 , 0.690556 , 0.542778 , 0.671111 , 0.671111 , 0.602222 , 0.514444 , 0.689444 , 0.664444 , 0.722778 , 0.688889 , 0.709444 , 0.720556 , 0.723333 , 0.541111 , 0 
21 , 0.801169 , 0 , 0.843297 , 0.673499 , 0.940883 , 0 , 0 , 0 , 0.816612 , 0.849283 , 0.877675 , 0.835411 , 0 , 0.664787 , 0 , 0.507706 , 0.85136 , 0.94626 , 0.820344 , 0.768441 , 0.707751 , 0.79278 , 0.754646 , 0.829243 , 0.968407 , 0.856943 , 0.857417 , 0 , 0 , 0.664787 , 0.883507 , 0.867932 , 0 , 0.91491 , 0 , 0.902811 , 0.000922 , 0.647442 , 0.691487 , 0.760653 , 0.937553 , 0.984861 , 0.943591 , 0.852469 , 1 , 0.998734 , 0.633217 , 0 
