@relation kb_relative_information_score

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
1 , 840.302576 , 220.814561 , 831.124819 , 787.764861 , 837.756628 , 368.606344 , 323.562814 , 297.948394 , 360.010747 , 837.890425 , 851.242059 , 843.411338 , 203.027594 , -1.243922 , -681.461879 , 853.275715 , 846.860778 , 855.595143 , 842.45784 , 822.656385 , 759.108915 , 812.484086 , 317.082872 , 475.198024 , 857.324071 , 852.90314 , 862.403462 , 643.063506 , 409.503013 , 609.607801 , 827.222555 , 548.969576 , 415.107772 , 831.041658 , -1.243922 , 837.221812 , 755.40366 , 836.068803 , 425.61575 , 823.083611 , 831.775108 , 841.321807 , 833.589135 , 848.57739 , -447.233529 , -447.724879 , -101.384782 , -1.243922 
2 , 783.922332 , 221.253624 , 671.766201 , 694.760133 , 699.887926 , 283.867068 , 347.635289 , 315.723192 , 360.010747 , 702.368498 , 697.361589 , 833.262511 , 203.027594 , -1.243922 , -599.76303 , 753.205008 , 747.141534 , 710.159634 , 653.629079 , 740.148963 , -803.422934 , 736.750568 , -257.855878 , 458.484219 , 774.902961 , 580.536521 , 870.752485 , 543.349027 , 399.457198 , 371.890243 , 759.060465 , -443.748861 , 415.107772 , 689.633797 , -1.243922 , 746.550994 , 507.337129 , 673.830469 , 215.433292 , 669.050975 , 797.084859 , 757.184755 , 711.145383 , 570.10215 , -464.717053 , -466.716589 , -32.11541 , -1.243922 
3 , 2141.806736 , 2777.812215 , 3103.384073 , 1948.442404 , 3141.32783 , 679.657078 , 686.72836 , 676.847403 , 2792.070904 , 3147.103809 , 3115.282039 , 3149.506149 , 133.289329 , 2570.808038 , 3.90311 , 2582.249885 , 2646.002855 , 3159.340498 , 3145.116131 , 3111.345905 , 2477.853003 , 2641.146387 , 2981.384324 , 2927.230405 , 3168.845572 , 2941.104793 , 2885.16911 , 945.459628 , 2852.689757 , 1943.586854 , 2976.369147 , 424.11593 , 1110.06557 , 3123.458345 , 1569.044815 , 3149.020554 , 1861.238629 , 2899.150596 , 2405.483288 , 3103.236915 , 2451.879339 , 2970.18298 , 3128.915879 , 2870.495623 , 3173.931592 , 3179.948694 , 716.658151 , -0.003981 
4 , 41.357224 , 47.549801 , 27.75722 , 42.397427 , 29.019844 , 29.392894 , 25.392119 , 30.208072 , 22.76577 , 22.949582 , 46.594288 , 38.569943 , 11.488006 , 43.258433 , -0.46981 , 36.375241 , 41.048453 , 26.694958 , 22.949582 , 39.753742 , 47.160605 , 40.532657 , 47.687621 , 49.950096 , 43.268983 , 49.737062 , 46.896516 , 33.296678 , 47.687673 , 50.040581 , 42.950242 , 18.275434 , 34.112765 , 21.107101 , -0.124939 , 32.701051 , 21.447452 , 28.814702 , 28.457608 , 20.249068 , 40.900193 , 38.683499 , 27.711667 , 43.268983 , 49.950096 , 47.687621 , 37.32171 , -0.124939 
7 , 140.383345 , 55.019348 , 147.723144 , 139.975941 , 142.357939 , 55.80593 , 45.270236 , 55.019348 , 60.199483 , 140.869468 , 170.853588 , 146.286682 , 25.986709 , 2.098192 , 5.599876 , 140.429401 , 145.429258 , 160.544365 , 157.299033 , 138.165762 , 156.889863 , 138.308612 , 163.086266 , 58.692025 , 170.762007 , 157.528032 , 167.87274 , 83.714052 , 55.019348 , 129.449619 , 142.749732 , 49.624994 , 61.189467 , 157.347534 , -0.095292 , 138.357549 , 116.306061 , 112.831342 , 39.711643 , 147.476421 , 136.106336 , 161.534696 , 141.910541 , 170.762007 , 17.617821 , 15.677096 , 35.473436 , -0.095292 
9 , 157.200784 , 49.507905 , 104.382108 , 125.620667 , 130.732246 , 51.777086 , 39.920297 , 49.507905 , 54.82638 , 132.093116 , 139.065989 , 150.713105 , 29.85033 , 101.719401 , 17.404741 , 137.535954 , 134.730359 , 151.377833 , 148.346339 , 132.781364 , 129.736043 , 109.817835 , 24.942306 , 33.941527 , 135.076944 , 129.894734 , 157.66407 , 60.796334 , 49.507905 , 101.744584 , 134.261468 , 20.459766 , 123.302111 , 132.096258 , 0.269288 , 140.958351 , 104.010094 , 143.626928 , 54.154309 , 96.46332 , 133.428437 , 146.028477 , 133.114243 , 133.121614 , 37.92491 , 38.07925 , 47.759355 , 0.269288 
10 , 102.030306 , 21.207464 , 70.00192 , 100.968417 , 70.85513 , 39.765213 , 42.626927 , 45.373789 , 37.216629 , 78.67005 , 106.174246 , 92.293715 , 20.087656 , 68.728166 , -28.943546 , 98.788975 , 91.148944 , 81.212735 , 79.547032 , 70.808597 , 93.614945 , 69.098567 , 95.329136 , 79.41348 , 100.723809 , 85.348583 , 100.482427 , 57.075006 , 69.277613 , 92.121347 , 84.305715 , 23.589914 , 71.47455 , 84.03111 , -0.254348 , 79.92357 , 55.364414 , 75.280184 , 62.112874 , 61.087303 , 87.365449 , 82.244234 , 71.039096 , 100.723809 , 18.303014 , 14.844765 , -12.030645 , -0.254348 
11 , 248.881349 , 155.602587 , 327.68796 , 226.482774 , 344.434476 , 120.177169 , 103.557575 , 67.185248 , 213.968767 , 305.868179 , 511.546715 , 395.564175 , 42.702216 , 301.808739 , -56.143736 , 369.653567 , 393.58559 , 343.676665 , 311.666463 , 319.244897 , 314.890951 , 363.170678 , 433.523134 , 459.375101 , 426.674115 , 486.096108 , 523.906641 , 98.728598 , 262.637361 , 294.926114 , 232.505905 , -26.084981 , 162.837829 , 394.124963 , 0.047178 , 371.308287 , 159.450185 , 363.570751 , 398.378434 , 326.171565 , 371.174271 , 482.328019 , 310.019141 , 364.266848 , 616.425946 , 336.945469 , -51.495294 , 0.047178 
13 , 52.80957 , 34.085901 , 28.357951 , 54.53951 , 34.13384 , 11.775743 , 19.753737 , 16.890506 , 17.93297 , 34.802083 , 12.683161 , 83.923218 , 67.484856 , 56.464394 , -98.308385 , 62.356597 , 50.053884 , 40.742166 , 34.802083 , 30.565262 , 50.82826 , 40.445749 , 59.792467 , 67.484856 , 35.879298 , 26.515657 , 28.068848 , 23.293364 , 82.379049 , 56.464394 , 70.888254 , 54.664208 , 46.971819 , 9.727305 , -0.377566 , 36.428986 , 19.090488 , 41.854881 , 32.262418 , 21.281569 , 90.562022 , 39.435355 , 20.614439 , 35.879298 , 116.203318 , 113.639188 , -79.250318 , 52.80957 
14 , 1661.054892 , 477.728431 , 1582.816119 , 1568.168268 , 1530.782429 , 494.714028 , 469.571011 , 477.728431 , 1031.783739 , 1607.644754 , 1637.376505 , 1560.083373 , 117.636517 , 1546.700196 , 49.348532 , 1584.834276 , 1663.351325 , 1555.549221 , 1557.181592 , 1416.156581 , 1502.065044 , 1438.129106 , 1617.252758 , 1507.448222 , 1682.95264 , 1478.699228 , 1663.721812 , 621.222022 , 477.728431 , 1546.169681 , 1262.69831 , 130.185607 , 758.685859 , 1508.85285 , 1024.059207 , 1634.348458 , 1495.861013 , 1271.107029 , 809.23467 , 1492.604935 , 1455.160347 , 1566.057223 , 1486.19958 , 1661.686437 , 576.937015 , 578.334049 , 258.850754 , 0 
