@relation metaInstances

@attribute task_id numeric
@attribute DefaultAccuracy numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute ClassEntropy numeric
@attribute EquivalentNumberOfAtts numeric
@attribute NoiseToSignalRatio numeric
@attribute MeanAttributeEntropy numeric
@attribute MeanMutualInformation numeric
@attribute MinAttributeEntropy numeric
@attribute MinMutualInformation numeric
@attribute MaxAttributeEntropy numeric
@attribute MaxMutualInformation numeric
@attribute Quartile1AttributeEntropy numeric
@attribute Quartile1MutualInformation numeric
@attribute Quartile2AttributeEntropy numeric
@attribute Quartile2MutualInformation numeric
@attribute Quartile3AttributeEntropy numeric
@attribute Quartile3MutualInformation numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute DecisionStumpErrRate numeric
@attribute J48ErrRate numeric
@attribute JRipErrRate numeric
@attribute kNN_3NErrRate numeric
@attribute NaiveBayesErrRate numeric
@attribute NBTreeErrRate numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute SimpleLogisticErrRate numeric
@attribute DecisionStumpAUC numeric
@attribute J48AUC numeric
@attribute JRipAUC numeric
@attribute kNN_3NAUC numeric
@attribute NaiveBayesAUC numeric
@attribute NBTreeAUC numeric
@attribute RandomTreeDepth3AUC numeric
@attribute REPTreeDepth3AUC numeric
@attribute SimpleLogisticAUC numeric
@attribute DecisionStumpKappa numeric
@attribute J48Kappa numeric
@attribute JRipKappa numeric
@attribute kNN_3NKappa numeric
@attribute NaiveBayesKappa numeric
@attribute NBTreeKappa numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute REPTreeDepth3Kappa numeric
@attribute SimpleLogisticKappa numeric

@data
1,0.761693,0.04343,76.169265,684,0,0,19,6,39,898,0,0,6,33,48.717949,0,0,15.384615,84.615385,348.504268,405.17327,4.60703,2.022468,1.198549,0.871208,-0.975909,0.072828,1263.094655,1871.399107,13.117367,3.753224,3.025695,10.505436,-0.410371,0.96523,21.22216,69.853385,1.616321,1.651046,901.263669,771.859043,12.646796,3.746282,1.189834,14.537928,4.664509,0.463603,0.081843,-0,0,2.050812,0.435178,0.015106,0.001318,0.262891,0.031121,0.640275,0.132192,8,1,2.4375,1.457738,0.213808,0.011136,0.018931,0.028953,0.134744,0.020045,0.132517,0.026726,0.005568,0.794787,0.993087,0.974558,0.992128,0.95703,0.990468,0.944999,0.988611,0.996072,0.420877,0.971925,0.95226,0.927598,0.724592,0.949636,0.638694,0.933308,0.986105
2,0.761693,0.04343,76.169265,684,0,0,4,6,39,898,898,22175,6,33,10.25641,100,63.317343,15.384615,84.615385,348.504268,405.17327,4.60703,2.022468,1.198549,0.871208,-0.975909,0.072828,1263.094655,1871.399107,13.117367,3.753224,3.025695,10.505436,-0.410371,0.96523,21.22216,69.853385,1.616321,1.651046,901.263669,771.859043,12.646796,3.746282,1.189834,26.839184,9.457529,0.463603,0.044332,-0,0,2.050812,0.40909,0.015106,0,0.262891,0,0.640275,0.020647,7,0,1.53125,1.458775,0.228285,0.077951,0.050111,0.045657,0.24833,0.030067,0.087973,0.087973,0.121381,0.851471,0.971653,0.937608,0.904722,0.931487,0.989981,0.909074,0.970426,0.941427,0.450333,0.797638,0.873711,0.879498,0.556266,0.924678,0.777829,0.770183,0.688453
3,0.522215,0.011577,52.221527,1669,47.778473,1527,35,2,37,3196,0,0,0,37,94.594595,0,0,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.998576,52.140402,29.814463,0.590148,0.019152,0.004094,0,0.995652,0.198267,0.28756,0.000778,0.6795,0.005426,0.913233,0.018486,3,2,2.027778,0.166667,0.339487,0.007196,0.008135,0.045369,0.123279,0.025031,0.031289,0.015019,0.030976,0.669165,0.998135,0.995649,0.985858,0.952027,0.993946,0.968778,0.997464,0.995307,0.339644,0.985579,0.9837,0.908856,0.752665,0.949777,0.937315,0.969895,0.937941
4,0.649123,0.298246,64.912281,37,35.087719,20,4,2,17,57,56,326,8,9,23.529412,98.245614,33.642931,47.058824,52.941176,9.412291,2.23551,1.537657,0.241415,2.160714,0.707795,-1.816523,-1.928503,38.039216,5.027701,10.520939,3.103995,3.831012,1.18797,-1.4285,-0.493844,4.421353,1.337455,-0.409953,0.147183,10.181866,4.034546,4.426145,0.77833,0.934849,9.288287,15.463009,1.656972,0.100648,1.244841,0.010175,1.943821,0.244473,1.365297,0.033696,1.758525,0.079708,1.896169,0.158428,3,2,2.625,0.517549,0.210526,0.22807,0.175439,0.105263,0.105263,0.105263,0.140351,0.350877,0.105263,0.845946,0.693516,0.804054,0.910135,0.95,0.918919,0.824597,0.728378,0.95,0.503628,0.493506,0.614865,0.77907,0.768919,0.768919,0.684647,0.263566,0.763485
7,0.252212,0.309735,25.221239,57,0.442478,1,61,24,70,226,222,317,0,70,87.142857,98.230088,2.003793,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.421947,24.870653,1.429453,0.334268,0.13759,0.040972,0.008835,2.289961,0.903441,0.040972,0.020931,0.101792,0.04754,0.299411,0.141962,6,2,2.231884,0.750391,0.535398,0.234513,0.29646,0.230088,0.287611,0.221239,0.327434,0.309735,0.154867,0.737634,0.932274,0.879877,0.892227,0.946512,0.944742,0.839636,0.903114,0.961064,0.305939,0.725803,0.645245,0.728704,0.654206,0.740564,0.616105,0.631244,0.819764
9,0.326829,0.126829,32.682927,67,0,0,4,7,26,205,46,59,15,11,15.384615,22.439024,1.106942,57.692308,42.307692,1447.091008,606.987934,1.274879,0.791632,3.255423,0.273539,-0.848926,-0.676325,13207.129353,7947.066342,5.108283,2.585391,25.219512,2.443522,-0.08523,0.072515,98.756585,6.886443,0.518258,0.67475,174.049268,41.642693,2.502459,1.377325,2.272474,7.907213,3.870301,1.399688,0.287393,0.110145,0.040981,4.11792,0.921073,0.626161,0.057898,1.185213,0.220605,1.797437,0.424032,22,2,6,6.110101,0.55122,0.204878,0.243902,0.278049,0.439024,0.258537,0.253659,0.42439,0.239024,0.661181,0.908685,0.868586,0.82563,0.830951,0.920718,0.8599,0.822193,0.901462,0.21368,0.733073,0.678855,0.643348,0.442126,0.663393,0.672061,0.440874,0.688537
10,0.547297,0.128378,54.72973,81,1.351351,2,9,4,19,148,0,0,3,16,47.368421,0,0,15.789474,84.210526,2.045045,1.018402,9.427894,2.29505,1.060811,0.313557,-0.544201,0.329284,2.601351,1.905023,28.499328,5.368816,1.060811,0.313557,-0.544201,0.329284,2.472973,0.836627,0.328555,1.187051,2.601351,1.905023,28.499328,5.368816,1.227678,9.376802,7.534568,1.117406,0.130927,0.274803,0.02912,2.527126,0.401884,0.740448,0.063795,0.991553,0.135651,1.608259,0.173688,8,2,2.933333,1.624221,0.243243,0.195946,0.25,0.189189,0.168919,0.202703,0.22973,0.243243,0.135135,0.739601,0.795032,0.740544,0.821415,0.907605,0.908864,0.796605,0.803824,0.935612,0.531646,0.629521,0.518127,0.638552,0.678317,0.608879,0.562701,0.535565,0.742721
11,0.4608,0.008,46.08,288,7.84,49,0,3,5,625,0,0,4,1,0,0,0,80,20,3,1.415346,-1.30272,0,3,1.415346,-1.30272,0,3,1.415346,-1.30272,0,3,1.415346,-1.30272,0,3,1.415346,-1.30272,0,3,1.415346,-1.30272,0,1.318116,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.4128,0.224,0.1824,0.1616,0.104,0.2304,0.2336,0.2256,0.1232,0.620526,0.826653,0.859729,0.9228,0.966645,0.862803,0.828323,0.845034,0.970897,0.234421,0.596475,0.661721,0.708564,0.807122,0.573185,0.599907,0.585366,0.771513
13,0.702797,0.034965,70.27972,201,29.72028,85,4,2,10,286,9,9,0,10,40,3.146853,0.314685,0,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.877845,26.010972,44.291574,1.528546,0.033749,0.791299,0.002002,3.024361,0.07701,0.94289,0.005492,1.318678,0.025819,2.031534,0.063083,11,2,4.555556,3.045944,0.300699,0.258741,0.297203,0.269231,0.272727,0.283217,0.346154,0.325175,0.241259,0.607521,0.581563,0.614486,0.646925,0.697793,0.657679,0.551595,0.544981,0.676207,0.289831,0.228773,0.250385,0.262936,0.309649,0.236504,0.1012,0.073821,0.307239
14,0.1,0.0385,10,200,10,200,0,10,77,2000,0,0,76,1,0,0,0,98.701299,1.298701,0.132032,0.067108,0.114153,0.544156,0.071692,0.037555,-1.126404,-0.120504,0.377311,0.176231,1.984447,1.028956,0.086326,0.042704,-0.182862,0.408582,0.1065,0.052759,0.058337,0.553674,0.155768,0.086335,0.432294,0.710074,3.321928,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.8035,0.2345,0.2845,0.1975,0.2375,0.332,0.3235,0.2575,0.181,0.720436,0.894742,0.920189,0.89038,0.965973,0.89916,0.820278,0.934274,0.978711,0.107222,0.739444,0.683889,0.780556,0.736111,0.631111,0.640556,0.713889,0.798889
