@relation predictive_accuracy

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
1 , 0.987751 , 0.836303 , 0.989978 , 0.961024 , 0.98441 , 0.841871 , 0.836303 , 0.771715 , 0.953229 , 0.988864 , 0.991091 , 0.986637 , 0.761693 , 0.761693 , 0.977728 , 0.989978 , 0.989978 , 0.989978 , 0.986637 , 0.98441 , 0.953229 , 0.982183 , 0.750557 , 0.85078 , 0.993318 , 0.988864 , 0.994432 , 0.955457 , 0.836303 , 0.865256 , 0.98441 , 0.845212 , 0.836303 , 0.982183 , 0.761693 , 0.995546 , 0.992205 , 0.982183 , 0.889755 , 0.982183 , 0.98441 , 0.991091 , 0.982183 , 0.992205 , 0.994432 , 0.991091 , 0.722717 , 0.761693 
2 , 0.966592 , 0.836303 , 0.937639 , 0.926503 , 0.923163 , 0.836303 , 0.836303 , 0.771715 , 0.953229 , 0.94098 , 0.924276 , 0.986637 , 0.761693 , 0.761693 , 0.977728 , 0.949889 , 0.949889 , 0.933185 , 0.914254 , 0.951002 , 0.008909 , 0.969933 , 0.459911 , 0.844098 , 0.957684 , 0.874165 , 0.996659 , 0.91314 , 0.836303 , 0.746102 , 0.975501 , 0.329621 , 0.836303 , 0.946548 , 0.761693 , 0.954343 , 0.890869 , 0.92539 , 0.824053 , 0.922049 , 0.969933 , 0.969933 , 0.933185 , 0.887528 , 0.905345 , 0.903118 , 0.749443 , 0.761693 
3 , 0.914894 , 0.954318 , 0.991865 , 0.874218 , 0.992491 , 0.660513 , 0.660513 , 0.660513 , 0.973717 , 0.994681 , 0.989049 , 0.993429 , 0.522215 , 0.938673 , 0.540989 , 0.904255 , 0.965269 , 0.996245 , 0.994368 , 0.989987 , 0.968398 , 0.961827 , 0.966521 , 0.958073 , 0.995932 , 0.974343 , 0.970901 , 0.720901 , 0.948686 , 0.874218 , 0.980288 , 0.567584 , 0.674593 , 0.9903 , 0.86796 , 0.996558 , 0.970901 , 0.953692 , 0.950876 , 0.9903 , 0.883917 , 0.995932 , 0.992491 , 0.970275 , 0.996558 , 0.997497 , 0.882353 , 0.522215 
4 , 0.894737 , 0.929825 , 0.894737 , 0.894737 , 0.824561 , 0.842105 , 0.842105 , 0.842105 , 0.807018 , 0.789474 , 0.947368 , 0.877193 , 0.649123 , 0.912281 , 0.929825 , 0.842105 , 0.929825 , 0.807018 , 0.789474 , 0.877193 , 0.929825 , 0.894737 , 0.929825 , 0.947368 , 0.929825 , 0.947368 , 0.929825 , 0.859649 , 0.929825 , 0.964912 , 0.947368 , 0.701754 , 0.824561 , 0.789474 , 0.649123 , 0.894737 , 0.859649 , 0.824561 , 0.929825 , 0.754386 , 0.877193 , 0.947368 , 0.824561 , 0.929825 , 0.947368 , 0.929825 , 0.894737 , 0.649123 
7 , 0.743363 , 0.464602 , 0.778761 , 0.774336 , 0.738938 , 0.464602 , 0.464602 , 0.464602 , 0.676991 , 0.783186 , 0.845133 , 0.747788 , 0.252212 , 0.252212 , 0.650442 , 0.730088 , 0.787611 , 0.787611 , 0.783186 , 0.747788 , 0.800885 , 0.721239 , 0.831858 , 0.442478 , 0.840708 , 0.792035 , 0.836283 , 0.482301 , 0.464602 , 0.725664 , 0.752212 , 0.309735 , 0.464602 , 0.79646 , 0.252212 , 0.809735 , 0.747788 , 0.606195 , 0.49115 , 0.743363 , 0.738938 , 0.814159 , 0.743363 , 0.840708 , 0.800885 , 0.809735 , 0.517699 , 0.252212 
9 , 0.814634 , 0.453659 , 0.663415 , 0.658537 , 0.717073 , 0.468293 , 0.512195 , 0.453659 , 0.604878 , 0.8 , 0.75122 , 0.790244 , 0.326829 , 0.556098 , 0.629268 , 0.736585 , 0.736585 , 0.809756 , 0.795122 , 0.746341 , 0.721951 , 0.663415 , 0.282927 , 0.346341 , 0.741463 , 0.702439 , 0.839024 , 0.497561 , 0.453659 , 0.55122 , 0.726829 , 0.219512 , 0.687805 , 0.717073 , 0.326829 , 0.858537 , 0.741463 , 0.765854 , 0.55122 , 0.560976 , 0.721951 , 0.843902 , 0.712195 , 0.746341 , 0.760976 , 0.756098 , 0.560976 , 0.326829 
10 , 0.858108 , 0.75 , 0.804054 , 0.858108 , 0.783784 , 0.695946 , 0.756757 , 0.756757 , 0.743243 , 0.797297 , 0.871622 , 0.824324 , 0.547297 , 0.736486 , 0.574324 , 0.837838 , 0.831081 , 0.790541 , 0.797297 , 0.777027 , 0.851351 , 0.756757 , 0.844595 , 0.797297 , 0.844595 , 0.804054 , 0.844595 , 0.75 , 0.77027 , 0.824324 , 0.763514 , 0.533784 , 0.75 , 0.817568 , 0.547297 , 0.858108 , 0.810811 , 0.783784 , 0.844595 , 0.777027 , 0.810811 , 0.864865 , 0.783784 , 0.844595 , 0.871622 , 0.851351 , 0.75 , 0.547297 
11 , 0.7136 , 0.7216 , 0.8624 , 0.7264 , 0.7936 , 0.6368 , 0.76 , 0.584 , 0.7584 , 0.7904 , 0.9056 , 0.8368 , 0.4576 , 0.9072 , 0.4608 , 0.8016 , 0.9024 , 0.7936 , 0.768 , 0.8016 , 0.8944 , 0.8352 , 0.8688 , 0.896 , 0.8864 , 0.896 , 0.9648 , 0.5408 , 0.7264 , 0.9072 , 0.7408 , 0.3712 , 0.584 , 0.8208 , 0.4576 , 0.824 , 0.8704 , 0.7952 , 0.8656 , 0.8048 , 0.8032 , 0.9328 , 0.8016 , 0.8752 , 0.9984 , 0.9808 , 0.6752 , 0.4576 
13 , 0.730769 , 0.72028 , 0.713287 , 0.727273 , 0.713287 , 0.671329 , 0.713287 , 0.681818 , 0.713287 , 0.748252 , 0.63986 , 0.741259 , 0.702797 , 0.727273 , 0.699301 , 0.695804 , 0.751748 , 0.755245 , 0.748252 , 0.716783 , 0.744755 , 0.723776 , 0.692308 , 0.702797 , 0.758741 , 0.695804 , 0.716783 , 0.713287 , 0.734266 , 0.727273 , 0.741259 , 0.685315 , 0.674825 , 0.660839 , 0.702797 , 0.741259 , 0.72028 , 0.674825 , 0.716783 , 0.692308 , 0.734266 , 0.758741 , 0.695804 , 0.758741 , 0.769231 , 0.765734 , 0.65035 , 0.730769 
14 , 0.8215 , 0.197 , 0.812 , 0.777 , 0.769 , 0.1965 , 0.3375 , 0.197 , 0.6485 , 0.8285 , 0.819 , 0.7895 , 0.1 , 0.759 , 0.5205 , 0.8015 , 0.8155 , 0.778 , 0.778 , 0.725 , 0.7565 , 0.742 , 0.817 , 0.7645 , 0.8315 , 0.742 , 0.8235 , 0.5495 , 0.197 , 0.7595 , 0.67 , 0.106 , 0.4065 , 0.7555 , 0.598 , 0.8445 , 0.824 , 0.6515 , 0.544 , 0.752 , 0.7395 , 0.843 , 0.7635 , 0.8195 , 0.8515 , 0.852 , 0.7035 , 0.1 
